ID,Date,Amount
451,2024-04-29,150
576,2024-06-27,702
891,2024-02-23,619
663,2024-03-05,654
1095,2024-05-31,898
848,2024-02-19,164
1380,2024-04-13,736
125,2024-03-16,23
430,2024-07-04,989
884,2024-01-22,29
1672,2024-06-27,98
1580,2024-01-03,730
169,2024-06-18,926
1981,2024-06-22,665
1482,2024-06-18,83
589,2024-03-09,621
994,2024-04-05,153
37,2024-03-27,162
886,2024-07-05,541
1017,2024-07-04,203
1061,2024-03-27,464
1881,2024-02-15,991
577,2024-06-23,26
112,2024-07-25,737
1771,2024-01-12,463
1086,2024-03-07,469
289,2024-07-22,278
1405,2024-02-10,936
1852,2024-01-31,22
748,2024-05-17,775
119,2024-03-02,626
1696,2024-01-04,900
1691,2024-03-12,758
1258,2024-05-26,235
124,2024-03-15,930
1750,2024-05-05,543
530,2024-05-20,510
475,2024-01-24,108
969,2024-04-20,126
1890,2024-02-02,223
274,2024-02-24,161
365,2024-04-25,18
827,2024-04-19,236
223,2024-04-12,499
687,2024-01-20,472
1304,2024-06-10,399
181,2024-05-28,482
1936,2024-05-16,517
1547,2024-04-13,723
1327,2024-07-17,576
1361,2024-07-16,330
1808,2024-07-27,884
378,2024-05-03,184
1397,2024-03-03,929
1660,2024-01-12,35
1628,2024-01-18,273
487,2024-05-17,685
571,2024-04-16,947
107,2024-06-27,300
779,2024-06-13,549
361,2024-05-02,265
356,2024-01-28,454
1336,2024-05-25,862
829,2024-04-29,145
1793,2024-07-12,803
1628,2024-06-29,12
863,2024-07-07,854
1803,2024-02-27,762
1592,2024-06-15,840
1516,2024-07-17,423
1826,2024-04-26,311
1985,2024-06-07,479
278,2024-02-21,846
600,2024-07-23,143
1653,2024-04-10,953
1476,2024-04-10,27
1917,2024-06-09,225
1566,2024-04-19,500
1801,2024-07-15,739
1302,2024-05-06,883
863,2024-01-29,526
803,2024-06-03,56
1851,2024-06-11,253
1813,2024-03-23,752
1912,2024-01-13,682
1149,2024-03-11,842
1888,2024-01-17,968
625,2024-02-12,362
828,2024-07-18,990
877,2024-05-24,743
1417,2024-02-24,473
424,2024-07-26,444
139,2024-02-06,575
1511,2024-06-12,595
611,2024-01-09,478
1339,2024-03-14,10
976,2024-06-21,244
669,2024-01-22,972
1984,2024-02-17,769
1289,2024-04-29,862
1951,2024-07-26,630
1780,2024-01-03,18
312,2024-01-28,562
475,2024-05-31,240
202,2024-06-13,837
1578,2024-04-04,427
280,2024-07-08,179
1252,2024-05-02,528
356,2024-07-06,446
1736,2024-03-03,897
814,2024-02-07,558
1391,2024-01-30,278
295,2024-05-13,732
704,2024-03-04,853
819,2024-01-30,844
1644,2024-07-16,408
1937,2024-04-11,877
83,2024-02-22,291
196,2024-04-22,982
606,2024-04-28,641
446,2024-03-26,822
477,2024-02-24,76
584,2024-03-29,542
1648,2024-04-22,19
589,2024-01-23,670
77,2024-05-14,110
1097,2024-07-05,260
107,2024-01-13,161
1550,2024-04-10,8
197,2024-05-27,400
1709,2024-02-10,297
1643,2024-04-06,337
1317,2024-02-03,969
530,2024-05-09,388
334,2024-06-26,180
1958,2024-05-26,816
869,2024-07-27,680
1644,2024-05-25,379
322,2024-06-30,272
1494,2024-01-08,93
966,2024-07-04,869
1753,2024-03-20,591
1571,2024-02-19,103
858,2024-05-14,992
1245,2024-01-23,814
463,2024-01-02,504
1158,2024-03-25,906
570,2024-06-23,828
1177,2024-05-27,213
1857,2024-02-22,294
1229,2024-06-13,960
1697,2024-05-05,776
1524,2024-04-09,939
1640,2024-04-03,318
1906,2024-03-11,428
1622,2024-05-30,399
84,2024-06-04,860
1601,2024-07-12,378
498,2024-05-19,708
436,2024-01-13,623
149,2024-05-13,123
1223,2024-01-29,322
885,2024-04-07,194
208,2024-01-29,312
83,2024-04-24,820
1207,2024-04-07,424
100,2024-02-05,552
1452,2024-05-02,578
11,2024-07-06,352
1007,2024-03-18,469
1560,2024-04-10,792
1608,2024-03-10,797
301,2024-02-06,634
